Nr. ;Datum; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  E-Mail ;  Newsletter
116;29.06.2016; Herr ; Dr. ; Jannik ; Kretschmar ; 13.3.1964 ; Simon-Meister-Str. 41 ;31311; Uetze ; 05173 / 1993790 ; 0160 / 1153775 ; 05173 / 49852964 ; j.kretschmar@mail.xyz ; ja
117;20.03.2016; Herr ; Dr. ; Lion ; Berthold ; 12.10.1975 ; Liboristr. 150 ;48527; Nordhorn ; 05921 / 78495274 ; 0168 / 9370394 ; 05921 / 47338241 ; l.berthold@mail.xyz ; ja
118;31.05.2016; Frau ; Dr. ; Kirsten ; Ziemer ; 12.3.1968 ; Alte Apotheke 122 ;6116; Halle ; 0345 / 22569465 ; 0165 / 3420176 ; 0345 / 53685854 ; k.ziemer@mail.xyz ; ja
119;10.06.2016; Herr ; Dr. ; René ; Rentschler ; 20.7.1942 ; Im Stemmen 170 ;67434; Neustadt an der Weinstraße ; 06321 / 64926089 ; 0161 / 6357327 ; 06321 / 64760547 ; rene.rentschler@mail.xyz ; ja
120;25.08.2016; Herr ; Dr. ; Ali ; Murphy ; 21.1.1921 ; Liboristr. 161 ;24235; Stein ; 04344 / 91453541 ; 0173 / 2003591 ; 04344 / 97000760 ; a.murphy@mail.xyz ; ja
121;27.10.2016; Herr ; Dr. ; Ingo ; Kampmann ; 8.2.1989 ; Rohrkampstr. 178 ;67699; Schneckenhausen ; 06301 / 23018826 ; 0172 / 4971569 ; 06301 / 66942216 ; ingo.kampmann@mail.xyz ; ja
122;11.07.2016; Frau ; Dr. ; Marieke ; Bär ; 19.8.1932 ; Hansaring 126 ;24972; Steinbergkirche ; 04632 / 91026657 ; 0176 / 4906944 ; 04632 / 3945147 ; marieke.baer@mail.xyz ; ja
123;12.12.2016; Herr ; Dr. ; Thies ; Görtz ; 3.8.1929 ; Am Römerhof 125 ;72131; Ofterdingen ; 07473 / 57994181 ; 0169 / 2612370 ; 07473 / 48637453 ; t.goertz@mail.xyz ; ja
124;18.04.2016; Frau ; Dr. ; Cathrin ; Stephan ; 6.11.1932 ; Eibenweg 74 ;56244; Krümmel ; 02626 / 30993493 ; 0171 / 7618733 ; 02626 / 10187814 ; c.stephan@mail.xyz ; ja
125;11.01.2016; Herr ; Dr. ; Maximilian ; Resch ; 20.9.1995 ; Kapellenstr. 32 ;55566; Meddersheim ; 06751 / 14937014 ; 0156 / 3123703 ; 06751 / 96758544 ; maximilian.resch@mail.xyz ; ja
126;10.12.2016; Frau ; Dr. ; Kristina ; Finkenzeller ; 4.2.1985 ; Telgenweg 104 ;64832; Babenhausen ; 06073 / 62929940 ; 0172 / 3738332 ; 06073 / 78810750 ; kristina.finkenzeller@mail.xyz ; ja
127;04.10.2016; Herr ; Prof. ; Til ; Schuster ; 23.7.1990 ; Zum Burgschemm 128 ;94568; Sankt Oswald-Riedlhütte ; 08552 / 77925812 ; 0164 / 1148859 ; 08552 / 95219911 ; til.schuster@mail.xyz ; ja
128;18.07.2016; Herr ; Dr. ; Jannick ; Häcker ; 25.11.1922 ; Schwalbenweg 26 ;49497; Mettingen ; 05452 / 59358672 ; 0165 / 5247826 ; 05452 / 30964685 ; jannick.haecker@mail.xyz ; ja
129;22.07.2016; Frau ; Dr. ; Maren ; Herrera ; 12.5.1950 ; Sentmaringer Weg 107 ;26203; Wardenburg ; 04407 / 82106518 ; 0179 / 7030374 ; 04407 / 33608234 ; maren.herrera@mail.xyz ; ja
130;14.07.2016; Frau ; Dr. ; Carlotta ; Heller ; 8.1.1993 ; Soetenkamp 9 ;92287; Schmidmühlen ; 09474 / 91242149 ; 0170 / 1179853 ; 09474 / 37848653 ; c.heller@mail.xyz ; ja
131;25.03.2016; Herr ; Dr. ; Willi ; Geib ; 5.4.1970 ; Heroldstr. 113 ;54518; Hupperath ; 06571 / 41824282 ; 0171 / 6150810 ; 06571 / 78984412 ; willi.geib@mail.xyz ; ja
132;15.02.2016; Frau ; Dr. ; Jill ; Evers ; 11.8.1972 ; Drachterstr. 83 ;70378; Stuttgart ; 0711 / 29853829 ; 0162 / 4230537 ; 0711 / 82275396 ; j.evers@mail.xyz ; ja
133;01.05.2016; Herr ; Dr. ; Filip ; Siegmann ; 8.9.1993 ; Enschedeweg 128 ;53175; Bonn ; 0228 / 46562334 ; 0173 / 7307911 ; 0228 / 51968180 ; f.siegmann@mail.xyz ; ja
134;19.02.2016; Herr ; Prof. ; Daniel ; Kelley ; 2.3.1965 ; Kappenberger Damm 160 ;73563; Mögglingen ; 07174 / 91725366 ; 0151 / 1428996 ; 07174 / 44898002 ; d.kelley@mail.xyz ; ja
135;24.11.2016; Frau ; Prof. ; Jasmin ; Arndt ; 16.12.1921 ; Wolbecker Str. 191 ;21775; Ihlienworth ; 04755 / 23429644 ; 0173 / 3491232 ; 04755 / 56931696 ; jasmin.arndt@mail.xyz ; ja
136;01.02.2016; Frau ; Prof. ; Karina ; Glover ; 15.3.1936 ; Wiedehagen 184 ;73770; Denkendorf ; 0711 / 58606633 ; 0170 / 9298307 ; 0711 / 94686722 ; k.glover@mail.xyz ; ja
137;10.09.2016; Herr ; Dr. ; Lennox ; Baldwin ; 15.5.1941 ; Speestr. - 136 ;25764; Wesselburenerkoog ; 04823 / 65551323 ; 0168 / 7487138 ; 04823 / 10299817 ; lennox.baldwin@mail.xyz ; ja
138;24.02.2016; Herr ; Dr. ; Axel ; Farmer ; 2.12.1932 ; Angelstr. 162 ;88422; Alleshausen ; 07582 / 24392404 ; 0173 / 7159138 ; 07582 / 98685326 ; a.farmer@mail.xyz ; ja
139;29.04.2016; Frau ; Dr. ; Dagmar ; Hillmann ; 7.8.1998 ; Dammstr. 78 ;99099; Erfurt ; 0361 / 45379402 ; 0168 / 9817834 ; 0361 / 67836741 ; dagmar.hillmann@mail.xyz ; ja
140;16.04.2016; Frau ; Dr. ; Marlene ; Fahr ; 26.4.1972 ; Magdalenenstr. 161 ;91052; Erlangen ; 09131 / 31261587 ; 0172 / 8990803 ; 09131 / 84041162 ; marlene.fahr@mail.xyz ; ja
141;18.09.2016; Herr ; Dr. ; Joshua ; Gaiser ; 7.1.1920 ; Am Brook 199a ;55624; Schwerbach ; 06544 / 99717164 ; 0160 / 5502911 ; 06544 / 57360532 ; j.gaiser@mail.xyz ; ja
142;18.11.2016; Frau ; Prof. ; Catarina ; Jonas ; 8.1.1975 ; Sophienstr. 1 ;57635; Forstmehren ; 02681 / 11507979 ; 0163 / 9663034 ; 02681 / 93106109 ; catarina.jonas@mail.xyz ; ja
143;04.12.2016; Frau ; Dr. ; Klaudia ; Bogenschütze ; 2.3.1985 ; Heinrichstr. 52 ;27404; Elsdorf ; 02274 / 34891791 ; 0161 / 6135760 ; 02274 / 62025477 ; k.bogenschuetze@mail.xyz ; ja
144;25.12.2016; Herr ; Dr. ; Jörn ; Wetzel ; 22.3.1996 ; Oberschlesier Str. 127 ;55595; Spabrücken ; 0671 / 24804265 ; 0152 / 7413394 ; 0671 / 82146855 ; j.wetzel@mail.xyz ; ja
145;10.09.2016; Herr ; Dr. ; Bennet ; Classen ; 1.2.1944 ; Von-Holte-Str. 6 ;54579; Üxheim ; 02696 / 98668531 ; 0158 / 6037721 ; 02696 / 68368155 ; b.classen@mail.xyz ; ja
146;29.06.2016; Herr ; Dr. ; Joel ; Ray ; 24.2.1955 ; Florentine-Eichler-Str. 16 ;57632; Eichen ; 02685 / 4828409 ; 0154 / 1288216 ; 02685 / 29178261 ; j.ray@mail.xyz ; ja
147;18.04.2016; Frau ; Dr. ; Neele ; Herold ; 7.9.1926 ; Papenbusch 14 ;54492; Lösnich ; 06531 / 1274153 ; 0172 / 2187058 ; 06531 / 28344333 ; n.herold@mail.xyz ; ja
148;12.07.2016; Frau ; Dr. ; Mona ; Wittmann ; 12.10.1997 ; Deutz-Kalker Str. 75 ;37691; Derental ; 05271 / 20036936 ; 0163 / 2180668 ; 05271 / 77662181 ; mona.wittmann@mail.xyz ; ja
149;01.02.2016; Herr ; Dr. ; Julian ; Obermüller ; 21.12.1948 ; Willingrott 56 ;68804; Altlußheim ; 06205 / 92667502 ; 0165 / 6673809 ; 06205 / 49423847 ; julian.obermueller@mail.xyz ; ja
150;16.01.2016; Frau ; Dr. ; Janne ; Willis ; 22.8.1990 ; Hirseweg 36 ;55116; Mainz am Rhein ; 06131 / 72836355 ; 0158 / 2479999 ; 06131 / 96179710 ; j.willis@mail.xyz ; ja
151;13.09.2016; Herr ; Dr. ; Mohammed ; Herzberg ; 28.3.1942 ; Elsa-Brändström-Weg 112 ;67280; Quirnheim ; 06359 / 23169101 ; 0170 / 9366342 ; 06359 / 22346655 ; mohammed.herzberg@mail.xyz ; ja
152;06.08.2016; Frau ; Dr. ; Joana ; Moll ; 10.12.1924 ; Maximilianstr. 65 ;83313; Siegsdorf ; 08662 / 14828015 ; 0161 / 9870945 ; 08662 / 48670348 ; j.moll@mail.xyz ; ja
153;05.03.2016; Frau ; Dr. ; Hertha ; Seite ; 8.9.1923 ; Dortmunder Str. 161 ;25551; Schlotfeld ; 04826 / 53984363 ; 0155 / 3834599 ; 04826 / 13943940 ; h.seite@mail.xyz ; ja
154;31.10.2016; Herr ; Dr. ; Bjarne ; Williams ; 2.7.1929 ; Bohlweg 45 ;66989; Nünschweiler ; 06334 / 92367733 ; 0161 / 9330640 ; 06334 / 94818280 ; b.williams@mail.xyz ; ja
155;20.05.2016; Frau ; Dr. ; Anneke ; Bad ; 27.10.1997 ; Piusstr. 149 ;75031; Sulzfeld ; 07269 / 1857343 ; 0161 / 6998966 ; 07269 / 44410124 ; anneke.bad@mail.xyz ; ja
156;07.07.2016; Herr ; Dr. ; Lorenz ; Wille ; 19.1.1992 ; Dorotheenstr. 82 ;92442; Wackersdorf ; 09431 / 29915404 ; 0150 / 6282251 ; 09431 / 33685382 ; l.wille@mail.xyz ; ja
157;22.02.2016; Frau ; Dr. ; Juliana ; Breit ; 27.7.1923 ; Schwalbenweg 90 ;55296; Gau-Bischofsheim ; 06135 / 54038722 ; 0166 / 1030999 ; 06135 / 5955786 ; juliana.breit@mail.xyz ; ja
158;14.02.2016; Herr ; Dr. ; Helmuth ; Hubbard ; 15.8.1933 ; Merheimer Str. 12 ;54340; Riol ; 06502 / 28350483 ; 0175 / 7931959 ; 06502 / 35687216 ; h.hubbard@mail.xyz ; ja
159;11.03.2016; Herr ; Dr. ; Miguel ; Kastner ; 26.6.1953 ; Beuelsweg 81 ;40213; Düsseldorf ; 0211 / 47960896 ; 0174 / 3137679 ; 0211 / 32629910 ; miguel.kastner@mail.xyz ; ja
160;01.04.2016; Frau ; Dr. ; Tabea ; Hessel ; 19.11.1943 ; Memmertweg 174 ;37627; Stadtoldendorf ; 05532 / 51935484 ; 0175 / 3712425 ; 05532 / 46232925 ; tabea.hessel@mail.xyz ; ja
161;06.02.2016; Herr ; Dr. ; Leonardo ; Seliger ; 18.11.1995 ; Düesbergweg 8a ;67823; Unkenbach ; 06362 / 45731804 ; 0152 / 6478917 ; 06362 / 15427082 ; l.seliger@mail.xyz ; ja
162;06.09.2016; Frau ; Dr. ; Marie ; Hieber ; 6.7.1966 ; Zum Guten Hirten 35 ;69518; Ober-Abtsteinach ; 06207 / 52293048 ; 0173 / 9297483 ; 06207 / 84420197 ; marie.hieber@mail.xyz ; ja
163;13.10.2016; Herr ; Dr. ; Raphael ; Engelhardt ; 8.8.1944 ; Mindener Str. 122 ;54552; Sarmersbach ; 06592 / 49554830 ; 0153 / 4264533 ; 06592 / 7489089 ; r.engelhardt@mail.xyz ; ja
164;03.11.2016; Frau ; Dr. ; Andrea ; Bartels ; 8.1.1965 ; Josef-Suwelack-Weg 40a ;29456; Hitzacker ; 05826 / 32170027 ; 0159 / 9840489 ; 05826 / 48247771 ; a.bartels@mail.xyz ; ja
165;04.09.2016; Frau ; Dr. ; Käte ; Roos ; 26.7.1937 ; Emdener Str. 110 ;88348; Bad Saulgau ; 07581 / 52668211 ; 0157 / 9971844 ; 07581 / 66444853 ; kaete.roos@mail.xyz ; ja
166;04.03.2016; Frau ; Dr. ; Antonia ; Kallweit ; 6.9.1961 ; Am Pulverschuppen 9 ;51371; Leverkusen ; 0214 / 72807635 ; 0175 / 2745946 ; 0214 / 62686897 ; antonia.kallweit@mail.xyz ; ja
167;17.11.2016; Herr ; Dr. ; Riccardo ; Schaal ; 13.5.1930 ; Frauenstr. 1 ;78253; Eigeltingen ; 07774 / 74013317 ; 0164 / 5246334 ; 07774 / 90704384 ; r.schaal@mail.xyz ; ja
168;29.11.2016; Herr ; Dr. ; Dario ; Rodriguez ; 18.9.1974 ; Röttgensweg 23 ;24972; Steinbergkirche ; 04632 / 50186953 ; 0171 / 5287864 ; 04632 / 62438148 ; dario.rodriguez@mail.xyz ; ja
169;22.10.2016; Frau ; Dr. ; Inge ; Hirth ; 13.6.1974 ; Dachsleite 107 ;86833; Ettringen ; 08249 / 64364487 ; 0168 / 5841607 ; 08249 / 24829002 ; inge.hirth@mail.xyz ; ja
170;24.01.2016; Herr ; Dr. ; Lucas ; Ludwig ; 26.10.1986 ; Rinscheweg 126 ;82418; Seehausen am Staffelsee ; 08841 / 84396801 ; 0159 / 5233158 ; 08841 / 38609302 ; lucas.ludwig@mail.xyz ; ja
171;25.05.2016; Herr ; Dr. ; Raphael ; Boyd ; 24.5.1974 ; Oberschlesier Str. 147 ;96123; Melkendorf ; 09505 / 16666277 ; 0152 / 3916940 ; 09505 / 55164948 ; raphael.boyd@mail.xyz ; ja
172;17.06.2016; Herr ; Dr. ; Roman ; Breit ; 10.8.1956 ; Eifelstr. 19 ;26474; Spiekeroog ; 04976 / 84959588 ; 0155 / 2683844 ; 04976 / 28558766 ; r.breit@mail.xyz ; ja
173;27.06.2016; Herr ; Prof. ; Torben ; Arlt ; 1.3.1928 ; Stolbergstr. 35 ;39579; Uenglingen ; 03931 / 10966880 ; 0161 / 6353567 ; 03931 / 4379116 ; t.arlt@mail.xyz ; ja
174;22.01.2016; Frau ; Dr. ; Hannelore ; Hofbauer ; 16.12.1974 ; Am Pulverschuppen 132 ;65604; Elz ; 06431 / 66559658 ; 0168 / 4063731 ; 06431 / 26380736 ; hannelore.hofbauer@mail.xyz ; ja
175;07.06.2016; Frau ; Dr. ; Sina ; Burmeister ; 5.11.1981 ; Langeworth 157 ;68519; Viernheim ; 06204 / 54748009 ; 0164 / 1036205 ; 06204 / 21973343 ; s.burmeister@mail.xyz ; ja
176;07.05.2016; Frau ; Prof. ; Kerstin ; Metz ; 9.5.1992 ; Von-der-Tinnen-Str. 161 ;4209; Leipzig ; 0341 / 89964284 ; 0153 / 7524502 ; 0341 / 28131841 ; k.metz@mail.xyz ; ja
177;20.02.2016; Frau ; Prof. ; Annica ; Lambert ; 24.1.1948 ; Landoisstr. 83 ;6618; Gieckau ; 03445 / 12417128 ; 0176 / 6793470 ; 03445 / 17219210 ; annica.lambert@mail.xyz ; ja
178;05.10.2016; Frau ; Dr. ; Laila ; Drescher ; 5.7.1987 ; Geiststr. 44 ;57612; Volkerzen ; 02681 / 17616735 ; 0155 / 5658980 ; 02681 / 15192633 ; l.drescher@mail.xyz ; ja
179;24.11.2016; Frau ; Prof. ; Silvia ; Kreuz ; 7.10.1963 ; Ostlandstr. 112 ;56858; Peterswald-Löffelscheid ; 06542 / 67243048 ; 0156 / 6366014 ; 06542 / 87342498 ; silvia.kreuz@mail.xyz ; ja
180;01.02.2016; Herr ; Dr. ; Magnus ; Riley ; 9.8.1940 ; Mierendorffstr. 81 ;79686; Hasel ; 07762 / 97619924 ; 0155 / 4360481 ; 07762 / 92388918 ; m.riley@mail.xyz ; ja
181;21.05.2016; Herr ; Dr. ; Thorben ; Heckmann ; 3.3.1999 ; Buldernweg 16 ;82237; Wörthsee ; 08153 / 90176833 ; 0159 / 3125540 ; 08153 / 72454913 ; t.heckmann@mail.xyz ; ja
182;26.02.2016; Frau ; Dr. ; Anna ; Kreuz ; 8.12.1969 ; Am Krausen Baum 69 ;91341; Röttenbach ; 09195 / 53713818 ; 0159 / 2611787 ; 09195 / 39027886 ; a.kreuz@mail.xyz ; ja
183;22.06.2016; Herr ; Dr. ; Roman ; Mohr ; 13.4.1958 ; Hülsebrockstr. 14 ;30459; Hannover ; 0511 / 13360531 ; 0168 / 7215464 ; 0511 / 6687706 ; roman.mohr@mail.xyz ; ja
184;03.06.2016; Frau ; Dr. ; Martina ; Michels ; 17.10.1939 ; Gottesweg 58 ;97499; Donnersdorf ; 09528 / 4009932 ; 0151 / 8430623 ; 09528 / 58728047 ; m.michels@mail.xyz ; ja
185;19.02.2016; Herr ; Dr. ; Enrico ; Kelley ; 16.7.1945 ; Sporckweg 91 ;25524; Oelixdorf ; 04828 / 10467123 ; 0157 / 4690771 ; 04828 / 48830716 ; enrico.kelley@mail.xyz ; ja
186;04.09.2016; Frau ; Dr. ; Sandra ; Sachs ; 25.11.1945 ; Schmittingheide 162 ;6917; Jessen ; 03537 / 66888065 ; 0167 / 8216605 ; 03537 / 52828061 ; s.sachs@mail.xyz ; ja
187;23.02.2016; Frau ; Dr. ; Kristin ; Cremer ; 8.4.1999 ; Florentine-Eichler-Str. 140 ;21423; Drage ; 04177 / 41997194 ; 0159 / 1006757 ; 04177 / 23202837 ; k.cremer@mail.xyz ; ja
188;12.10.2016; Frau ; Dr. ; Janina ; Land ; 7.8.1926 ; Dorbaumstr. 151 ;53547; Breitscheid ; 02638 / 34671408 ; 0152 / 9497419 ; 02638 / 22196064 ; j.land@mail.xyz ; ja
189;30.11.2016; Herr ; Dr. ; Ralph ; Loos ; 14.10.1934 ; Maximilianstr. 22 ;55627; Martinstein ; 06754 / 1795356 ; 0173 / 3789080 ; 06754 / 11417535 ; ralph.loos@mail.xyz ; ja
190;01.06.2016; Herr ; Dr. ; Benjamin ; Nelson ; 2.6.1933 ; Zur Gräfte 191 ;31787; Hameln ; 05151 / 24771032 ; 0164 / 1103437 ; 05151 / 10450354 ; b.nelson@mail.xyz ; ja
191;13.06.2016; Herr ; Dr. ; Kilian ; Lawson ; 17.6.1934 ; Beuelsweg 125 ;87527; Ofterschwang ; 08321 / 42912409 ; 0152 / 3336888 ; 08321 / 84515524 ; kilian.lawson@mail.xyz ; ja
192;20.03.2016; Frau ; Dr. ; Dilara ; Wink ; 17.7.2000 ; Unter Kahlenhausen 113 ;24852; Langstedt ; 04609 / 17693378 ; 0163 / 9192080 ; 04609 / 54134101 ; dilara.wink@mail.xyz ; ja
193;22.06.2016; Herr ; Dr. ; Lennard ; Ellis ; 4.11.1942 ; Lammerbach 15 ;65199; Wiesbaden ; 0611 / 70910238 ; 0150 / 8270193 ; 0611 / 85008500 ; l.ellis@mail.xyz ; ja
194;20.06.2016; Frau ; Prof. ; Neele ; Schwarzer ; 3.3.1961 ; Rinkerodeweg 168 ;49638; Nortrup ; 05436 / 5610537 ; 0165 / 4152420 ; 05436 / 32122568 ; n.schwarzer@mail.xyz ; ja
195;31.01.2016; Frau ; Dr. ; Katrin ; Rau ; 10.10.1954 ; Hensenstr. 35 ;63897; Miltenberg ; 09371 / 91381745 ; 0166 / 4217707 ; 09371 / 96617854 ; katrin.rau@mail.xyz ; ja
196;03.06.2016; Frau ; Dr. ; Marlies ; Brückner ; 8.2.1977 ; Möserweg 61 ;65558; Kaltenholzhausen ; 06430 / 89327890 ; 0167 / 2911272 ; 06430 / 28128326 ; marlies.brueckner@mail.xyz ; ja
197;24.01.2016; Frau ; Dr. ; Kira ; Gebhard ; 6.2.1941 ; Landoisstr. 165 ;6217; Geusa ; 03461 / 72919702 ; 0165 / 2944973 ; 03461 / 56843682 ; kira.gebhard@mail.xyz ; ja
198;12.11.2016; Frau ; Dr. ; Hanna ; Mertens ; 15.10.1928 ; Neißestr. 50 ;54533; Gransdorf ; 06563 / 5315282 ; 0170 / 3488269 ; 06563 / 98931342 ; h.mertens@mail.xyz ; ja
199;06.05.2016; Frau ; Dr. ; Carlotta ; Jefferson ; 16.3.1947 ; Uhuweg 16 ;27446; Deinstedt ; 04284 / 31825987 ; 0150 / 5075266 ; 04284 / 85356750 ; c.jefferson@mail.xyz ; ja
200;11.10.2016; Frau ; Dr. ; Alexa ; Gebauer ; 20.2.1924 ; Widdeshover Weg 150 ;89165; Dietenheim ; 07347 / 42531223 ; 0172 / 5157072 ; 07347 / 75489174 ; alexa.gebauer@mail.xyz ; ja
201;31.01.2016; Herr ; Dr. ; Klaas ; Rode ; 20.8.1967 ; Oberschlesier Str. 11 ;25797; Ketelsbüttel ; 04839 / 37854996 ; 0165 / 1354635 ; 04839 / 24952627 ; klaas.rode@mail.xyz ; ja
202;19.02.2016; Herr ; Dr. ; Chris ; Holt ; 20.5.1938 ; Cheruskerstr. 126 ;93152; Nittendorf ; 09404 / 37165159 ; 0176 / 6076974 ; 09404 / 64888124 ; chris.holt@mail.xyz ; ja
203;16.04.2016; Herr ; Prof. ; Phillipp ; Morris ; 7.12.1970 ; Straßburger Weg 132 ;25524; Kollmoor ; 04828 / 48880409 ; 0153 / 7437445 ; 04828 / 30976423 ; phillipp.morris@mail.xyz ; ja
204;08.01.2016; Frau ; Prof. ; Annabel ; Küppers ; 7.10.1965 ; Unter Kahlenhausen 86 ;90765; Fürth ; 0911 / 68622441 ; 0165 / 5458770 ; 0911 / 14363791 ; a.kueppers@mail.xyz ; ja
205;17.12.2016; Herr ; Dr. ; Oliver ; Strobel ; 25.1.1920 ; Hillscheider Weg 174 ;25488; Holm ; 04103 / 79019478 ; 0166 / 2916739 ; 04103 / 42312835 ; oliver.strobel@mail.xyz ; ja
206;21.06.2016; Herr ; Dr. ; Dirk ; Renate ; 11.1.1993 ; Am Brook 125 ;74749; Rosenberg ; 06295 / 47982525 ; 0175 / 2673907 ; 06295 / 72688400 ; d.renate@mail.xyz ; ja
207;09.04.2016; Herr ; Prof. ; Lothar ; Peschke ; 14.8.1953 ; Ringelnatzstr. 197 ;54675; Kruchten ; 06564 / 32358537 ; 0168 / 3667824 ; 06564 / 8008300 ; lothar.peschke@mail.xyz ; ja
208;20.03.2016; Frau ; Dr. ; Elisabeth ; Peschke ; 2.9.1982 ; Zur Wiese 60 ;85296; Rohrbach ; 08442 / 73374906 ; 0154 / 6360964 ; 08442 / 55007087 ; e.peschke@mail.xyz ; ja
209;10.06.2016; Frau ; Dr. ; Lana ; Hansen ; 18.6.1999 ; Raesfeldstr. 83 ;86934; Reichling ; 08194 / 95475848 ; 0159 / 6936832 ; 08194 / 93248943 ; lana.hansen@mail.xyz ; ja
210;03.05.2016; Frau ; Dr. ; Renate ; Schrader ; 15.10.1986 ; Catharina-Müller-Str. 148 ;27619; Schiffdorf ; 04706 / 17119859 ; 0155 / 2129228 ; 04706 / 43401487 ; r.schrader@mail.xyz ; ja
211;20.03.2016; Frau ; Dr. ; Helga ; Gerling ; 16.1.1930 ; Enschedeweg 17 ;6120; Halle ; 0345 / 95790184 ; 0179 / 8527979 ; 0345 / 9795016 ; helga.gerling@mail.xyz ; ja
212;26.07.2016; Herr ; Prof. ; Bernt ; Waibel ; 12.7.1984 ; Hogenbergstr. 30 ;56761; Masburg ; 02653 / 95531101 ; 0174 / 1398079 ; 02653 / 9594727 ; bernt.waibel@mail.xyz ; ja
213;21.06.2016; Frau ; Dr. ; Mina ; Hille ; 22.6.1969 ; Mondstr. 62 ;17217; Klein Lukow ; 03962 / 72396082 ; 0152 / 4194616 ; 03962 / 21003856 ; m.hille@mail.xyz ; ja
214;31.05.2016; Frau ; Dr. ; Astrid ; Kreuzer ; 23.1.1926 ; Birkenweg 191 ;92360; Mühlhausen ; 09185 / 45056707 ; 0162 / 8646104 ; 09185 / 59271553 ; a.kreuzer@mail.xyz ; ja
215;20.07.2016; Frau ; Dr. ; Kirsten ; Hesse ; 19.12.1973 ; Unter Kahlenhausen 56 ;24878; Jagel ; 04624 / 72573654 ; 0157 / 1583303 ; 04624 / 66664535 ; k.hesse@mail.xyz ; ja
216;10.10.2016; Herr ; Dr. ; Markus ; Fricke ; 20.4.1922 ; Hahnenstr. 148 ;21403; Wendisch Evern ; 04131 / 23116993 ; 0166 / 5196809 ; 04131 / 5575745 ; markus.fricke@mail.xyz ; ja
217;28.02.2016; Herr ; Dr. ; Mats ; Neuhaus ; 10.11.1948 ; Marsweg 188 ;25797; Neuenwisch ; 04839 / 52010704 ; 0152 / 8762457 ; 04839 / 46701702 ; m.neuhaus@mail.xyz ; ja
218;12.04.2016; Frau ; Dr. ; Klara ; Hockney ; 7.2.1963 ; Am Pulverschuppen 103 ;39638; Wannefeld ; 03907 / 56265070 ; 0163 / 7248336 ; 03907 / 73656187 ; klara.hockney@mail.xyz ; ja
219;23.02.2016; Frau ; Dr. ; Gertrud ; Schüler ; 3.2.1960 ; Am Krausen Baum 145 ;93133; Burglengenfeld ; 09471 / 43621622 ; 0168 / 3414367 ; 09471 / 22131279 ; gertrud.schueler@mail.xyz ; ja
220;01.12.2016; Herr ; Dr. ; Luis ; Morris ; 13.2.1941 ; Am Ziegelofen 163 ;78592; Egesheim ; 07429 / 30314649 ; 0152 / 6785998 ; 07429 / 38184062 ; l.morris@mail.xyz ; ja
221;02.07.2016; Frau ; Dr. ; Ilse ; Ganser ; 12.9.1948 ; Telgenweg 7 ;59581; Warstein ; 02902 / 76458632 ; 0178 / 7667034 ; 02902 / 35043020 ; ilse.ganser@mail.xyz ; ja
222;29.05.2016; Frau ; Dr. ; Mareike ; Karst ; 13.8.1983 ; Emdener Str. 152 ;25585; Tackesdorf ; 04872 / 40433869 ; 0154 / 6820429 ; 04872 / 53533479 ; mareike.karst@mail.xyz ; ja
223;23.06.2016; Herr ; Dr. ; Jörg ; Krohn ; 17.5.1959 ; Kurneystr. 158 ;49626; Bippen ; 05435 / 30817383 ; 0151 / 7732283 ; 05435 / 25943812 ; joerg.krohn@mail.xyz ; ja
224;26.09.2016; Frau ; Prof. ; Sylvia ; Duncan ; 23.4.1923 ; Immelmannstr. 11 ;25563; Quarnstedt ; 04822 / 77962888 ; 0176 / 9481643 ; 04822 / 20143529 ; sylvia.duncan@mail.xyz ; ja
225;24.07.2016; Herr ; Dr. ; Denis ; Greer ; 4.11.1979 ; Buldernweg 173 ;24321; Hohwacht ; 04381 / 82102491 ; 0176 / 3827662 ; 04381 / 55197049 ; d.greer@mail.xyz ; ja
226;01.03.2016; Herr ; Dr. ; Filip ; Hunter ; 9.3.1952 ; Am Dornbusch 40 ;48161; Münster ; 0251 / 91939594 ; 0176 / 3681251 ; 0251 / 70478529 ; f.hunter@mail.xyz ; ja
227;29.04.2016; Herr ; Dr. ; Gerhard ; Westphal ; 21.6.1962 ; Gremmendorfer Weg 153 ;76689; Karlsdorf-Neuthard ; 07251 / 73057835 ; 0153 / 3085312 ; 07251 / 31581143 ; gerhard.westphal@mail.xyz ; ja
228;30.07.2016; Herr ; Dr. ; Julien ; Octomedia ; 17.3.1979 ; Kreuzstr. 144 ;23909; Mechow ; 04541 / 37338970 ; 0173 / 7594899 ; 04541 / 11345432 ; julien.octomedia@mail.xyz ; ja
229;02.12.2016; Frau ; Dr. ; Victoria ; Ternes ; 22.8.1955 ; Zülpicher Str. 59 ;38368; Querenhorst ; 05357 / 99055851 ; 0172 / 7375527 ; 05357 / 78067629 ; v.ternes@mail.xyz ; ja
230;22.11.2016; Frau ; Dr. ; Monica ; Tillmann ; 23.4.1989 ; Bernhard-Poether-Str. 173 ;93348; Kirchdorf ; 09444 / 47542348 ; 0174 / 1555951 ; 09444 / 72670014 ; monica.tillmann@mail.xyz ; ja
